Id,Date,Calories
1503960366,4/12/16,1985
1503960366,4/13/16,1797
1503960366,4/14/16,1776
1503960366,4/15/16,1745
1503960366,4/16/16,1863
1503960366,4/17/16,1728
1503960366,4/18/16,1921
1503960366,4/19/16,2035
1503960366,4/20/16,1786
1503960366,4/21/16,1775
1503960366,4/22/16,1827
1503960366,4/23/16,1949
1503960366,4/24/16,1788
1503960366,4/25/16,2013
1503960366,4/26/16,1970
1503960366,4/27/16,2159
1503960366,4/28/16,1898
1503960366,4/29/16,1837
1503960366,4/30/16,1947
1503960366,5/1/16,1820
1503960366,5/2/16,2004
1503960366,5/3/16,1990
1503960366,5/4/16,1819
1503960366,5/5/16,1959
1503960366,5/6/16,1896
1503960366,5/7/16,1821
1503960366,5/8/16,1740
1503960366,5/9/16,1819
1503960366,5/10/16,1859
1503960366,5/11/16,1783
1503960366,5/12/16,0
1624580081,4/12/16,1432
1624580081,4/13/16,1411
1624580081,4/14/16,1572
1624580081,4/15/16,1344
1624580081,4/16/16,1463
1624580081,4/17/16,1554
1624580081,4/18/16,1604
1624580081,4/19/16,1435
1624580081,4/20/16,1446
1624580081,4/21/16,1467
1624580081,4/22/16,1470
1624580081,4/23/16,1562
1624580081,4/24/16,1617
1624580081,4/25/16,1492
1624580081,4/26/16,1402
1624580081,4/27/16,1670
1624580081,4/28/16,1401
1624580081,4/29/16,1404
1624580081,4/30/16,1655
1624580081,5/1/16,2690
1624580081,5/2/16,1497
1624580081,5/3/16,1334
1624580081,5/4/16,1368
1624580081,5/5/16,1370
1624580081,5/6/16,1341
1624580081,5/7/16,1474
1624580081,5/8/16,1427
1624580081,5/9/16,1328
1624580081,5/10/16,1393
1624580081,5/11/16,1359
1624580081,5/12/16,1002
1644430081,4/12/16,3199
1644430081,4/13/16,2902
1644430081,4/14/16,3226
1644430081,4/15/16,2750
1644430081,4/16/16,3493
1644430081,4/17/16,3011
1644430081,4/18/16,2806
1644430081,4/19/16,3300
1644430081,4/20/16,2430
1644430081,4/21/16,2140
1644430081,4/22/16,2344
1644430081,4/23/16,2677
1644430081,4/24/16,2413
1644430081,4/25/16,2497
1644430081,4/26/16,3123
1644430081,4/27/16,2489
1644430081,4/28/16,3108
1644430081,4/29/16,2498
1644430081,4/30/16,3846
1644430081,5/1/16,2696
1644430081,5/2/16,2580
1644430081,5/3/16,3324
1644430081,5/4/16,2222
1644430081,5/5/16,2463
1644430081,5/6/16,3328
1644430081,5/7/16,3404
1644430081,5/8/16,2987
1644430081,5/9/16,3008
1644430081,5/10/16,2799
1644430081,5/11/16,1276
1844505072,4/12/16,2030
1844505072,4/13/16,1860
1844505072,4/14/16,2130
1844505072,4/15/16,1725
1844505072,4/16/16,1657
1844505072,4/17/16,1793
1844505072,4/18/16,1814
1844505072,4/19/16,1366
1844505072,4/20/16,1349
1844505072,4/21/16,2062
1844505072,4/22/16,1827
1844505072,4/23/16,1645
1844505072,4/24/16,1347
1844505072,4/25/16,1347
1844505072,4/26/16,1347
1844505072,4/27/16,1348
1844505072,4/28/16,1992
1844505072,4/29/16,1856
1844505072,4/30/16,1763
1844505072,5/1/16,1541
1844505072,5/2/16,1348
1844505072,5/3/16,1742
1844505072,5/4/16,1549
1844505072,5/5/16,1589
1844505072,5/6/16,1351
1844505072,5/7/16,1347
1844505072,5/8/16,1347
1844505072,5/9/16,1347
1844505072,5/10/16,1347
1844505072,5/11/16,1347
1844505072,5/12/16,665
1927972279,4/12/16,2220
1927972279,4/13/16,2151
1927972279,4/14/16,2383
1927972279,4/15/16,2221
1927972279,4/16/16,2064
1927972279,4/17/16,2063
1927972279,4/18/16,2111
1927972279,4/19/16,2063
1927972279,4/20/16,2063
1927972279,4/21/16,2064
1927972279,4/22/16,2093
1927972279,4/23/16,2499
1927972279,4/24/16,2324
1927972279,4/25/16,2100
1927972279,4/26/16,2638
1927972279,4/27/16,2063
1927972279,4/28/16,2351
1927972279,4/29/16,2063
1927972279,4/30/16,2064
1927972279,5/1/16,2411
1927972279,5/2/16,2505
1927972279,5/3/16,2195
1927972279,5/4/16,2338
1927972279,5/5/16,2063
1927972279,5/6/16,2383
1927972279,5/7/16,2229
1927972279,5/8/16,2063
1927972279,5/9/16,2063
1927972279,5/10/16,2063
1927972279,5/11/16,2063
1927972279,5/12/16,1383
2022484408,4/12/16,2390
2022484408,4/13/16,2601
2022484408,4/14/16,2312
2022484408,4/15/16,2525
2022484408,4/16/16,2177
2022484408,4/17/16,2782
2022484408,4/18/16,2770
2022484408,4/19/16,2489
2022484408,4/20/16,2897
2022484408,4/21/16,3158
2022484408,4/22/16,2638
2022484408,4/23/16,2069
